<END>	<START>	ArrayList	add	add:TRUE	addAll:FALSE	addAll:TRUE	clear	clone	get	indexOf	isEmpty:FALSE	isEmpty:TRUE	remove	remove:FALSE	remove:TRUE	set	size	toArray
XID:0	-3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -4.3807928907726215 -3.7879109889695197 -0.0015784854875533839 -6.7037868866843064 -4.175898258049772 -4.227411342919943 -5.0624444975025495 -5.922657535305101 -3.883279380678516 -3.9478295270970265 -4.979344590750199 -5.92490581669886 -2.944942920656062 -2.740690488358518 -4.997721597983103 -5.9639862583899905 -4.201989184450159 -6.418637530633134 -5.238176615200236
XID:1	-3.0 -3.0 -0.0004345117740176917 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -1.9951758237805677 -5.385585836180883 -4.95818507008605 -2.664321497643434 -0.7254657713211148 -1.5694992477153948 -3.9100066262938817 -1.5228975651156527 -2.9832757879197276 -4.529324955201064 -2.2809282068858736 -3.804692719675795 -2.1286103940940353 -2.9814035115083417 -1.2613565670764966 -3.5672166461920893 -4.837026581571184 -0.1805139742497903 -1.9012628503595568
XID:2	-3.0 -3.0 -0.0004345117740176917 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -0.0004345117740176917 -3.744204244111899 -7.526733517716956 -5.676226234619365 -2.9128186351609955 -3.3894484241045606 -4.934715392082468 -3.100836358522781 -3.8412154822765765 -5.639024333237563 -3.0114954448106706 -3.4910301497224543 -3.995051287507878 -3.8362484334592053 -3.708240549031434 -4.115203503602738 -4.168710738851223 -3.5545141152817212 -2.3780223638891225 -0.003976307592252395
XID:3	-3.0 -3.0 -0.0004345117740176917 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -0.0004345117740176917 -3.0 -3.5279255041012987 -9.044226649686905 -6.7049367539047555 -5.241532465271178 -3.7159190986768067 -5.335730436484905 -6.058709746153817 -4.420697822684154 -5.592148698535823 -6.487115575615378 -4.723395752216346 -4.73328158287891 -3.680683613965859 -6.354282078731253 -3.787780424172995 -5.896613675832032 -6.880985085597255 -0.0013261866758766008 -2.678438849630984
XID:4	-3.0 -3.0 -0.0004345117740176917 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.744204244111899 -7.526733517716956 -5.676226234619365 -2.9128186351609955 -3.3894484241045606 -4.934715392082468 -3.100836358522781 -3.8412154822765765 -5.639024333237563 -3.0114954448106706 -3.4910301497224543 -3.995051287507878 -3.8362484334592053 -3.708240549031434 -4.115203503602738 -4.168710738851223 -3.5545141152817212 -2.3780223638891225 -0.003976307592252395
XID:5	-3.0 -3.0 -0.0004345117740176917 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.5279255041012987 -9.044226649686905 -6.7049367539047555 -5.241532465271178 -3.7159190986768067 -5.335730436484905 -6.058709746153817 -4.420697822684154 -5.592148698535823 -6.487115575615378 -4.723395752216346 -4.73328158287891 -3.680683613965859 -6.354282078731253 -3.787780424172995 -5.896613675832032 -6.880985085597255 -0.0013261866758766008 -2.678438849630984
XID:6	-3.0 -3.0 -0.0004345117740176917 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -0.0004345117740176917 -3.0 -3.0 -3.0 -3.0 -3.6554976927846727 -9.517340759316665 -7.929053837553075 -5.256650185434434 -4.489876084206426 -5.927819977568435 -5.070492180748793 -3.153599171274309 -5.446784698597862 -4.842806245520433 -2.9987380383226605 -6.457196972760801 -3.8302550502348325 -4.939729110978195 -0.0024816870178505906 -4.309942207167712 -6.580979900028741 -2.799403917641313 -2.718934800815488
XID:7	-3.0 -3.0 -0.0004345117740176917 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -0.0004345117740176917 -3.0 -3.0 -0.0004345117740176917 -3.0 -3.5279255041012987 -9.044226649686905 -6.7049367539047555 -5.241532465271178 -3.7159190986768067 -5.335730436484905 -6.058709746153817 -4.420697822684154 -5.592148698535823 -6.487115575615378 -4.723395752216346 -4.73328158287891 -3.680683613965859 -6.354282078731253 -3.787780424172995 -5.896613675832032 -6.880985085597255 -0.0013261866758766008 -2.678438849630984
XID:8	-3.0 -3.0 -0.0004345117740176917 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -0.0004345117740176917 -3.0 -3.0 -0.0004345117740176917 -0.0004345117740176917 -3.6554976927846727 -9.517340759316665 -7.929053837553075 -5.256650185434434 -4.489876084206426 -5.927819977568435 -5.070492180748793 -3.153599171274309 -5.446784698597862 -4.842806245520433 -2.9987380383226605 -6.457196972760801 -3.8302550502348325 -4.939729110978195 -0.0024816870178505906 -4.309942207167712 -6.580979900028741 -2.799403917641313 -2.718934800815488
XID:9	-3.0 -3.0 -0.0004345117740176917 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -0.0004345117740176917 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.856704092875928 -9.136760437219909 -8.81072590478938 -9.473870165087158 -4.436914231252259 -3.874616339532293 -5.523925207081524 -4.293277951530149 -5.762468828430193 -7.976813409927239 -3.398163727942876 -4.953204484246515 -0.0012142460708726372 -7.042227549646196 -5.197595753123056 -7.190224201876101 -6.773841056602853 -4.445340063195698 -2.7046198518197113
XID:10	-3.0 -3.0 -0.0004345117740176917 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -0.0004345117740176917 -3.0 -3.0 -3.0 -3.0 -3.0 -0.0004345117740176917 -3.856704092875928 -9.136760437219909 -8.81072590478938 -9.473870165087158 -4.436914231252259 -3.874616339532293 -5.523925207081524 -4.293277951530149 -5.762468828430193 -7.976813409927239 -3.398163727942876 -4.953204484246515 -0.0012142460708726372 -7.042227549646196 -5.197595753123056 -7.190224201876101 -6.773841056602853 -4.445340063195698 -2.7046198518197113
XID:11	-3.0 -3.0 -0.0004345117740176917 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -0.0004345117740176917 -3.0 -3.0 -3.0 -3.0 -0.0004345117740176917 -3.0 -3.856704092875928 -9.136760437219909 -8.81072590478938 -9.473870165087158 -4.436914231252259 -3.874616339532293 -5.523925207081524 -4.293277951530149 -5.762468828430193 -7.976813409927239 -3.398163727942876 -4.953204484246515 -0.0012142460708726372 -7.042227549646196 -5.197595753123056 -7.190224201876101 -6.773841056602853 -4.445340063195698 -2.7046198518197113
XID:12	-3.0 -3.0 -0.0004345117740176917 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -3.0 -0.0004345117740176917 -3.0 -3.0 -3.0 -3.0 -0.0004345117740176917 -3.0 -3.5279255041012987 -9.044226649686905 -6.7049367539047555 -5.241532465271178 -3.7159190986768067 -5.335730436484905 -6.058709746153817 -4.420697822684154 -5.592148698535823 -6.487115575615378 -4.723395752216346 -4.73328158287891 -3.680683613965859 -6.354282078731253 -3.787780424172995 -5.896613675832032 -6.880985085597255 -0.0013261866758766008 -2.678438849630984
